HeroName,Aliases,Alignment,Combat,Durability,EyeColor,FullName,Gender,HairColor,Height,Intelligence,Nicknames,Placeofbirth,Power,Publisher,Race,Category,SkinColor,Speed,Strength,Weight,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
Namor,"Imperius Rex, Dr. G.W. Falton, Sub-Mariner, ""Subby"", Namor the First, Avenging Son, Old Man, Rex, Joe Pierre, Lord of the Seven Seas, the Scion of the Deep, Phoenix",good,85,70,Grey,Namor McKenzie,male,Black,6'2 // 188 cm,69,-,Atlantis,73,Marvel Comics,Atlantean,Alien,,58,95,278 lb // 125 kg,33.844371,-84.47405,0.67,place,,,Atlanta,GA,Fulton County,30301,US
Bling!,-,good,28,90,-,Roxanne Washington,female,-,5'6 // 168 cm,69,Roxy,-,52,Marvel Comics,-,Unknown,,12,14,152 lb // 68 kg,0,0,0,,,,,,,,
Moonstone,"Meteorite,  Kate Sorenson",bad,80,52,Blue,Dr. Karla Sofen,female,Blond,5'11 // 180 cm,56,-,"Van Nuys, California",74,Marvel Comics,-,Unknown,,47,67,130 lb // 59 kg,33.786594,-118.298662,1,place,,,Van Nuys,CA,Los Angeles County,91388,US
Justice,"Marvel Boy, Manglin' John Mahoney, Astounding Astrovik, Superhuman Penitentiary Prisoner 344678, ""Super Tights""",good,30,70,Hazel,Vance Astrovik,male,Brown,5'10 // 178 cm,50,-,-,55,Marvel Comics,Human,Human,,33,10,180 lb // 81 kg,0,0,0,,,,,,,,
Toxin,Larry,good,70,84,Blue,Patrick Mulligan,male,Brown,6'2 // 188 cm,56,Paddy,New York City,82,Marvel Comics,Symbiote,Alien,,70,73,215 lb // 97 kg,40.68863,-74.018244,1,place,,,New York,NY,New York County,10004,US
Nova,"Frances Hyatt, Human Torch",good,35,100,White,Frankie Raye,female,Red,5'4 // 163 cm,63,-,-,100,Marvel Comics,Human / Cosmic,Human,Gold,100,60,130 lb // 59 kg,0,0,0,,,,,,,,
Mister-Knife,"Jason of Spartax, Jason of Sparta, Star-Lord, Mr Knife",bad,65,30,Blue,-,male,Brown,- // 0 cm,75,-,"Spartax, Spartoi Empire, near the Shi'ar Galaxy",13,Marvel Comics,Spartoi,Human,,17,10,- lb // 0 kg,36.660281,-80.913605,1,place,,,Galax,VA,Galax city,24333,US
Spider-Girl,-,good,75,65,Blue,May 'Mayday' Parker,female,Brown,5'7 // 170 cm,63,-,"New York City, New York",53,Marvel Comics,Human,Human,,60,38,119 lb // 54 kg,40.68863,-74.018244,1,place,,,New York,NY,New York County,10004,US
Beyonder,"Kosmos, Cosmos, Frank",good,56,100,-,-,male,-,- // 0 cm,88,-,Created in the Beyond,100,Marvel Comics,-,Unknown,,23,100,- lb // 0 kg,0,0,0,,,,,,,,
Gambit,"Death, Le Diable Blanc, formerly Robert Lord, Cajun",good,84,28,Red,Remy Etienne LeBeau,male,Brown,6'1 // 185 cm,63,-,"New Orleans, Louisiana",55,Marvel Comics,Mutant,Mutant,,23,10,179 lb // 81 kg,29.958304,-90.077,1,place,,,New Orleans,LA,Orleans Parish,70112,US
Ares,"God of War, Mister Talon, Mars, Warhawk",good,101,80,Brown,-,male,Brown,6'1 // 185 cm,75,-,-,74,Marvel Comics,-,Unknown,,35,82,600 lb // 270 kg,0,0,0,,,,,,,,
Black-Panther,"Mr. Okonkwo, The Man Without Fear, Luke Charles, Black Leopard, the Client, Coal Tiger, has impersonated Daredevil and others on occasion",good,100,60,Brown,T'Challa,male,Black,6'0 // 183 cm,88,-,"Wakanda, Africa",41,Marvel Comics,Human,Human,,30,16,200 lb // 90 kg,42.25891,-88.13925,0.67,place,,,Wauconda,IL,Lake County,60084,US
Tinkerer,-,bad,14,14,Brown,Phineas Mason,male,White,5'4 // 163 cm,100,-,-,10,Marvel Comics,-,Unknown,,23,10,120 lb // 54 kg,0,0,0,,,,,,,,
Iceman,"Bobby Drake, Mister Friese, Drake Roberts, Rampage, Frozen One, Iceface",good,64,100,Brown,Robert Louis Drake,male,Brown,5'8 // 173 cm,63,Bobby,"Fort Washington, Long Island, New York",100,Marvel Comics,Mutant,Mutant,,53,32,145 lb // 65 kg,0,0,0,,,,,,,,
Jubilee,Jubes,good,90,20,Red,Jubilation Lee,female,Black,5'5 // 165 cm,56,-,"Beverly Hills, California",66,Marvel Comics,Mutant,Mutant,,22,8,115 lb // 52 kg,33.786594,-118.298662,1,place,,,Beverly Hills,CA,Los Angeles County,90209,US
