HeroName,Aliases,Alignment,Combat,Durability,EyeColor,FullName,Gender,HairColor,Height,Intelligence,Nicknames,Placeofbirth,Power,Publisher,Race,SkinColor,Speed,Strength,Weight
Captain-Marvel-II,"Captain Marvel Jr., CM3",good,56,90,Blue,Frederick Christopher Freeman,male,Black,5'9 // 175 cm,75,Freddy,-,34,DC Comics,Human,,27,81,165 lb // 74 kg
Citizen-Steel,"Buckeye, Uncle Nate, Uncle Nathan",good,60,100,Green,Nathaniel Heywood,male,Red,6'0 // 183 cm,50,-,-,23,DC Comics,Human,,33,95,378 lb // 170 kg
Deadman,-,good,42,100,Blue,Boston Brand,male,Black,6'0 // 183 cm,50,-,-,100,DC Comics,Human,,33,10,201 lb // 90 kg
Firestorm,The Nuclear Man,good,42,56,Brown,Jason Rusch,male,Black,- // 0 cm,50,-,-,100,DC Comics,-,,58,53,- lb // 0 kg
Batman-II,Dick Grayson,good,100,28,Blue,Richard John Grayson,male,Black,5'10 // 178 cm,88,Dick,-,36,DC Comics,Human,,33,11,175 lb // 79 kg
Plastique,-,bad,42,28,Blue,Bette Sans Souci,female,Red,5'6 // 168 cm,50,-,-,60,DC Comics,-,,23,10,123 lb // 55 kg
Aquababy,-,good,14,14,Blue,"Arthur Curry, Jr.",male,Blond,- // 0 cm,10,-,-,37,DC Comics,-,,12,16,- lb // 0 kg
Atom-II,"The Mighty Mite, the Tiny Titan, the World's Smallest Hero",good,60,45,Brown,Raymond Palmer,male,Auburn,6'0 // 183 cm,88,Ray,-,40,DC Comics,Human,,33,10,180 lb // 81 kg
Heat-Wave,Rory Calhoun,bad,30,45,Blue,Mick Rory,male,No Hair,5'11 // 180 cm,38,-,-,27,DC Comics,Human,,17,10,179 lb // 81 kg
Batman,"Insider, Matches Malone",good,100,50,blue,Bruce Wayne,male,black,6'2 // 188 cm,100,"The Dark Knight, The Caped Crusader, The Worlds Greatest Detective, Matches Malone","Crest Hill, Bristol Township; Gotham County",47,DC Comics,Human,,27,26,210 lb // 95 kg
Killer-Croc,-,bad,60,90,Red,Waylon Jones,male,No Hair,8'0 // 244 cm,19,-,-,53,DC Comics,Metahuman,Green,35,53,790 lb // 356 kg
Siren,-,bad,60,60,Blue,Hila,female,Purple,5'9 // 175 cm,56,-,-,92,DC Comics,Atlantean,,79,62,160 lb // 72 kg
Red-Tornado,"Ulthoon, Tornado Tyrant of Rann, Tornado Champion, Tornado Man Dreaming, ""Reddy""",good,40,60,Green,John Smith,male,No Hair,6'1 // 185 cm,75,-,-,100,DC Comics,Robot,,67,38,325 lb // 146 kg
Superboy-Prime,Superman-Prime; Prime; Superboy; Clark Kent; Clarkie; Time Trapper,bad,85,100,Blue,Kal-El,male,Black / Blue,5'11 // 180 cm,94,-,Krypton (Earth-Prime),100,DC Comics,Kryptonian,,100,100,170 lb // 77 kg
Batgirl-VI,"Steph, Robin, Marion Todd, Spoiler",good,80,28,Blue,Stephanie Brown,female,Blond,5'6 // 168 cm,75,-,-,22,DC Comics,-,,23,10,135 lb // 61 kg
Black-Manta,"Devil Ray, Scourge of the Seven Seas, Yellow Lantern",bad,85,60,Black,-,male,No Hair,6'2 // 188 cm,75,-,-,76,DC Comics,Human,,50,28,205 lb // 92 kg
Kid-Flash,Kid Lantern,good,30,42,Green,Wallace Rudolph West,male,Red,- // 0 cm,25,Wally,"Blue Valley, Nebraska",20,DC Comics,Human,,92,4,- lb // 0 kg
Lightning-Lad,"Lightning Boy, Live Wire",good,42,28,Blue,Garth Ranzz,male,Red,5'1 // 155 cm,38,-,-,60,DC Comics,-,,23,10,145 lb // 65 kg
Man-Bat,Kirk Langstrom,neutral,30,70,Brown,Robert Kirkland Langstrom,male,Brown,- // 0 cm,38,-,"Chicago, Illinois",33,DC Comics,Human,,50,18,- lb // 0 kg
Doctor-Fate,Nabu,good,50,80,Blue,Kent Nelson,male,Blond,6'2 // 188 cm,81,-,-,100,DC Comics,Human,,25,16,197 lb // 89 kg
Zoom,-,bad,28,28,Red,Hunter Zolomon,male,Brown,6'1 // 185 cm,50,-,-,100,DC Comics,-,,100,10,181 lb // 81 kg
Plastic-Man,-,good,56,100,Blue,Patrick O'Brian,male,Black,6'1 // 185 cm,50,Eel,-,100,DC Comics,Human,,23,63,178 lb // 80 kg
King-Shark,-,bad,40,90,Black,-,male,No Hair,- // 0 cm,50,-,-,86,DC Comics,Animal,,50,88,- lb // 0 kg
Lightning-Lord,-,bad,42,42,Blue,Mekt Ranzz,male,Red,6'3 // 191 cm,44,-,-,66,DC Comics,-,,23,10,210 lb // 95 kg
Flash-IV,"Impulse, Kid Flash II",good,48,32,Yellow,Bartholomew Allen II,male,Auburn,5'2 // 157 cm,63,Bart Allen,-,100,DC Comics,Human,,100,10,115 lb // 52 kg
Supergirl,"Linda Lang, Kara-El, Kara Kent, Flamebird, Trinity Child, Teen of Tomorrow, The Girl of Steel, The Maid of Might, The Princess of Power, Mighty Maid, Claire Connors, Bluebird",good,75,100,Blue,Kara Zor-El,female,Blond,5'5 // 165 cm,94,-,"Argo City, Krypton",100,DC Comics,Kryptonian,,100,100,120 lb // 54 kg
Black-Canary,Dinah Laurel Lance Queen; Dinah Laurel Lance-Windrow,good,80,20,Blue,Dinah Laurel Lance,female,Blond,5'7 // 170 cm,63,Pretty Bird,-,52,DC Comics,Metahuman,,33,8,130 lb // 59 kg
Atom-Girl,Shrinking Violet,good,42,28,Black,Salu Digby,female,Black,5'6 // 168 cm,38,-,-,38,DC Comics,-,,23,10,120 lb // 54 kg
Chameleon,"Dr. Ashley Kafka, Dr. Turner, J. Jonah Jameson, Torpedo, Rick Jones, Dr. Henry Pym, Peter Parker, Captain George Stacy, Dr. Robert Bruce Banner, General",bad,28,28,-,Dmitri Anatoly Smerdyakov Kravinoff,male,-,- // 0 cm,88,-,Russia,28,DC Comics,-,,12,10,- lb // 0 kg
Blue-Beetle-III,Scooter,good,30,80,Brown,Jaime Reyes,male,Black,- // 0 cm,50,Posse; Teen Titans,Presumed to be El Paso,100,DC Comics,Human,,58,34,- lb // 0 kg
Maxima,"Queen Maxima, Empress of the Almeracian Empire",bad,75,56,Brown,-,female,Red,5'11 // 180 cm,75,-,Almerac,81,DC Comics,-,,35,90,160 lb // 72 kg
Steel,"Man of Steel, Henry Johnson",good,64,90,Brown,John Henry Irons,male,No Hair,6'7 // 201 cm,81,-,"Washington, D.C.",64,DC Comics,-,,53,82,290 lb // 131 kg
Raven,"Pride, Dark Raven",neutral,40,70,Indigo,Rachel Roth,female,Black,5'5 // 165 cm,50,-,Azarath,84,DC Comics,Human,,29,10,110 lb // 50 kg
Lex-Luthor,-,bad,28,14,Green,Alexander 'Lex' Joseph Luthor,male,No Hair,6'2' // 188 cm,100,-,-,10,DC Comics,-,,12,10,210 lb // 95 kg
Speedy,"Thea Merlyn, Mia, Red Arrow",good,70,20,Green,Thea Dearden Queen,female,Brown,- // 0 cm,50,-,Starling City,26,DC Comics,Human,,33,6,- lb // 0 kg
Black-Canary,-,good,80,15,Blue,Dinah Drake Lance,female,Blond,5'5 // 165 cm,63,-,-,45,DC Comics,Human,,33,8,128 lb // 58 kg
Etrigan,Demon,neutral,50,100,Red,Jason Blood,male,No Hair,6'4 // 193 cm,50,-,Hell,100,DC Comics,Demon,Yellow,17,85,452 lb // 203 kg
Martian-Manhunter,"ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith, Bloodwynd, many others",good,85,100,Red,J'onn J'onzz,male,No Hair,6'7 // 201 cm,100,-,-,100,DC Comics,Martian,Green,92,95,300 lb // 135 kg
Sinestro,Green Lantern,bad,56,64,Black,Thaal Sinestro,male,Black,6'7 // 201 cm,75,-,"Korugar City, Korugar",100,DC Comics,-,,53,80,205 lb // 92 kg
Spectre,"Spirit of Vengeance, Wrath of God, Spirit of Redemption, Raguel, James Corrigan, Hal Jordan, Cripus Allen",good,70,100,White,-,male,No Hair,- // 0 cm,88,-,-,100,DC Comics,God / Eternal,White,100,100,- lb // 0 kg
Flash-II,"The Scarlet Speedster, the Fastest Man Alive, the Monarch of Motion, the Sultan of Speed",good,60,60,Blue,Bartholomew Henry Allen,male,Blond,6'0 // 183 cm,75,-,"Fallville, Iowa",100,DC Comics,Human,,100,10,195 lb // 88 kg
Ben-10,Ben Ten,good,40,10,-,Benjamin Kirby Tennyson,male,-,- // 0 cm,10,-,-,90,DC Comics,-,,8,7,- lb // 0 kg
